iter	RMSE
125	45067.2509
126	45052.01353
127	45032.88825
128	45020.43583
129	44991.19713
130	44981.2949
131	44971.51313
132	44962.13465
133	44947.79944
134	44936.61652
135	44923.79515
136	44893.88597
137	44875.47336
138	44865.59025
139	44852.5359
140	44833.86701
141	44812.77294
142	44800.2019
143	44783.06586
144	44774.58623
145	44768.53493
146	44745.51563
147	44736.94064
148	44719.5819
149	44701.58932
150	44669.92816
151	44665.45604
152	44644.59102
153	44621.21597
154	44610.02395
155	44592.12064
156	44583.45511
157	44569.96062
158	44553.71824
159	44524.64407
160	44506.5072
161	44488.20072
162	44465.4497
163	44452.20345
164	44434.57696
165	44413.52805
166	44398.8936
167	44380.99646
168	44376.7609
169	44361.4862
170	44342.55555
171	44326.46416
172	44312.39732
173	44282.59976
174	44261.43736
175	44254.75093
176	44239.28185
177	44224.55555
178	44211.48991
179	44196.47652
180	44179.83856
181	44156.90674
182	44140.38134
183	44132.49718
184	44110.69826
185	44094.86438
186	44082.86449
187	44061.07384
188	44048.62328
189	44038.78634
190	44023.22711
191	44010.18428
192	43987.11017
193	43981.57622
194	43975.02785
195	43958.78033
196	43950.37328
197	43933.60406
198	43928.37824
199	43916.08793
200	43894.21941
201	43882.106
202	43865.99492
203	43854.24353
204	43831.45075
205	43816.72002
206	43797.58506
207	43780.73347
208	43774.65643
209	43766.23297
210	43752.62395
211	43746.04344
212	43737.55882
213	43720.00557
214	43714.63088
215	43696.77312
216	43683.38801
217	43670.5611
218	43654.51971
219	43649.24611
220	43643.55994
221	43628.33827
222	43623.04737
223	43608.46233
224	43591.94347
225	43573.88387
226	43568.19292
227	43563.13416
228	43547.58387
229	43532.36846
230	43519.59969
231	43507.60144
232	43502.35958
233	43486.10648
234	43471.48447
235	43459.81174
236	43447.16412
237	43434.0373
238	43427.96032
239	43410.24235
240	43395.85524
241	43384.27108
242	43370.7874
243	43351.88274
244	43348.24859
245	43332.11813
246	43320.1703
247	43307.0277
248	43281.51291
249	43264.27926
250	43257.1426
251	43253.0299
252	43245.98615
253	43231.16921
254	43227.05059
255	43214.57235
256	43201.12817
257	43196.29028
258	43192.71363
259	43181.39975
260	43167.83117
261	43153.27812
262	43134.9811
263	43128.30336
264	43116.64107
265	43105.57415
266	43100.21315
267	43088.53092
268	43085.24752
269	43081.90612
270	43073.98592
271	43068.66319
272	43056.57865
273	43038.00107
274	43033.95537
275	43023.34226
276	43012.14506
277	43008.57617
278	42996.09531
279	42981.01633
280	42975.43066
281	42964.83167
282	42960.20025
283	42942.48559
284	42932.11594
285	42921.77715
286	42919.18489
287	42908.26482
288	42898.90389
289	42884.62433
290	42870.31396
291	42865.38343
292	42856.38258
293	42838.12141
294	42835.32231
295	42827.15996
296	42814.78232
297	42804.13437
298	42800.025
299	42796.80153
300	42789.68461
301	42779.99095
302	42764.61888
303	42753.45694
304	42740.79527
305	42723.98976
306	42715.12139
307	42703.60582
308	42688.77508
309	42685.89807
310	42675.63704
311	42664.01862
312	42660.88877
313	42648.81595
314	42632.12328
315	42620.08988
316	42610.38836
317	42602.30713
318	42591.00821
319	42588.3841
320	42578.34709
321	42566.58923
322	42557.04345
323	42550.63205
324	42546.11189
325	42537.56323
326	42526.67204
327	42516.11432
328	42507.86391
329	42498.53286
330	42494.46354
331	42491.24406
332	42479.60535
333	42466.03159
334	42457.23277
335	42448.64879
336	42446.11812
337	42442.18804
338	42433.7348
339	42430.79246
340	42428.42152
341	42424.78885
342	42422.38749
343	42402.88344
344	42395.8851
345	42383.54357
346	42376.19255
347	42358.49188
348	42345.64811
349	42334.4207
350	42332.09915
351	42329.83437
352	42318.00967
353	42313.79608
354	42305.34074
355	42291.99378
356	42288.4508
357	42282.15796
358	42272.61241
359	42267.37262
360	42264.75094
361	42256.5299
362	42249.25315
363	42240.61539
364	42234.75647
365	42227.72376
366	42225.55375
367	42223.54392
368	42217.03532
369	42210.09006
370	42201.03449
371	42195.83298
372	42186.43608
373	42174.52291
374	42172.55013
375	42168.17635
376	42159.49299
377	42155.27584
378	42152.34445
379	42144.74831
380	42130.80355
381	42120.61747
382	42113.87946
383	42105.23451
384	42098.01067
385	42095.21503
386	42090.58877
387	42088.72888
388	42083.04117
389	42076.24638
390	42069.81278
391	42064.11895
392	42054.03317
393	42048.77301
394	42047.05388
395	42038.7196
396	42034.14579
397	42027.72941
398	42026.06797
399	42020.8873
400	42017.36574
401	42015.22913
402	42010.28198
403	42003.5722
404	41997.9527
405	41983.86877
406	41976.76353
407	41961.81013
408	41960.18835
409	41957.30899
410	41955.59642
411	41950.38641
412	41942.75691
413	41933.49658
414	41925.92008
415	41916.14448
416	41913.71809
417	41905.8945
418	41901.46236
419	41896.71778
420	41890.22513
421	41875.99435
422	41874.39165
423	41869.43987
424	41856.54963
425	41849.45038
426	41847.11593
427	41838.97569
428	41835.41704
429	41830.42884
430	41828.96569
431	41823.87176
432	41819.00424
433	41817.44156
434	41810.39578
435	41806.88229
436	41800.34613
437	41785.59508
438	41781.02665
439	41772.07523
440	41767.34965
441	41755.03657
442	41747.79136
443	41740.43987
444	41736.68342
445	41728.22726
446	41719.07365
447	41715.54901
448	41703.16252
449	41691.15666
450	41689.13726
451	41687.56711
452	41679.89293
453	41675.58563
454	41657.40756
455	41652.54099
456	41642.37229
457	41640.88133
458	41633.8456
459	41632.40103
460	41628.61334
461	41625.84459
462	41624.56687
463	41620.41972
464	41619.18727
465	41617.85614
466	41610.36878
467	41606.05134
468	41598.83073
469	41597.43152
470	41592.81611
471	41589.11023
472	41581.5223
473	41577.02052
474	41570.66755
475	41568.97241
476	41561.91512
477	41554.36204
478	41551.23574
479	41548.22828
480	41545.3368
481	41530.33425
482	41528.70551
483	41525.36741
484	41517.70873
485	41514.61213
486	41508.56684
487	41507.24331
488	41500.24019
489	41495.84542
490	41490.55911
491	41487.37048
492	41485.9911
493	41483.07229
494	41474.52011
495	41466.56634
496	41464.50591
497	41463.22294
498	41457.62035
499	41451.16323
500	41448.97527
501	41441.59948
502	41436.51599
503	41433.5296
504	41423.20622
505	41412.84189
506	41409.71957
507	41408.3034
508	41403.27021
509	41398.81007
510	41395.96684
511	41394.69871
512	41393.05525
513	41391.10029
514	41389.08375
515	41386.4823
516	41378.32165
517	41373.61354
518	41366.80653
519	41364.39867
520	41363.12112
521	41359.3591
522	41356.59876
523	41354.0506
524	41348.18329
525	41345.98273
526	41342.53855
527	41332.56331
528	41331.42793
529	41328.28504
530	41325.32709
531	41317.36265
532	41311.06847
533	41298.29747
534	41290.12043
535	41289.03763
536	41272.51068
537	41267.93802
538	41262.44174
539	41254.72831
540	41253.4958
541	41248.92835
542	41244.22733
543	41237.62948
544	41230.94425
545	41225.37304
546	41223.22644
547	41221.5601
548	41220.15073
549	41215.68453
550	41211.71266
551	41208.2323
552	41206.86684
553	41205.02978
554	41203.81403
555	41198.4279
556	41196.5999
557	41195.27607
558	41189.70197
559	41187.23686
560	41182.53763
561	41180.5876
562	41179.2859
563	41176.77882
564	41173.43281
565	41172.33665
566	41169.16979
567	41165.81661
568	41160.82828
569	41156.10812
570	41154.02418
571	41149.91702
572	41142.87029
573	41141.66414
574	41137.54263
575	41133.51457
576	41125.21256
577	41121.50109
578	41118.51117
579	41117.40267
580	41110.1981
581	41106.37335
582	41104.77449
583	41102.82822
584	41098.21726
585	41096.63133
586	41088.97238
587	41082.82152
588	41079.25768
589	41078.02736
590	41076.07699
591	41073.54878
592	41067.55336
593	41057.89542
594	41053.35103
595	41052.18672
596	41048.71388
597	41041.983
598	41040.94402
599	41037.35605
600	41036.50135
601	41031.83612
602	41026.36178
603	41024.64305
604	41017.63364
605	41016.62457
606	41013.78562
607	41009.30976
608	41003.74469
609	40998.4621
610	40996.33027
611	40994.42457
612	40988.87153
613	40983.02763
614	40979.25008
615	40978.25154
616	40977.1768
617	40974.30893
618	40969.80861
619	40968.60663
620	40961.0141
621	40956.74691
622	40955.78716
623	40953.37013
624	40952.14687
625	40951.09687
626	40945.82455
627	40944.98132
628	40941.45335
629	40937.97387
630	40932.03403
631	40927.52398
632	40917.34877
633	40906.76153
634	40904.13174
635	40901.6983
636	40900.57661
637	40893.36501
638	40891.81603
639	40886.67843
640	40883.51823
641	40881.70029
642	40880.6122
643	40879.64308
644	40876.63838
645	40873.85118
646	40872.03074
647	40870.15829
648	40863.4986
649	40857.79876
650	40855.36222
651	40850.10736
652	40848.37993
653	40847.46459
654	40846.38827
655	40841.74961
656	40836.2456
657	40832.47033
658	40830.96951
659	40826.3661
660	40823.87687
661	40823.02018
662	40821.87439
663	40817.41422
664	40816.64172
665	40806.58004
666	40805.03818
667	40804.02244
668	40799.65639
669	40797.17076
670	40794.43511
671	40784.91977
672	40783.20196
673	40782.06139
674	40776.88221
675	40775.94095
676	40773.99675
677	40773.02066
678	40772.19207
679	40770.47446
680	40769.6653
681	40764.82366
682	40764.05709
683	40753.50239
684	40748.12067
685	40746.5867
686	40745.59674
687	40742.26447
688	40739.50884
689	40738.73651
690	40736.27549
691	40734.19184
692	40733.40017
693	40728.22052
694	40723.86272
695	40717.48211
696	40716.67911
697	40711.93824
698	40708.83504
699	40703.71444
700	40701.711
701	40699.52587
702	40698.33879
703	40695.39994
704	40691.61672
705	40690.53537
706	40689.30965
707	40685.51581
708	40681.62681
709	40680.67978
710	40679.25961
711	40677.10419
712	40672.59748
713	40669.35574
714	40664.99322
715	40661.82518
716	40658.86894
717	40654.42142
718	40650.70329
719	40649.86838
720	40648.7607
721	40644.77182
722	40644.05774
723	40643.27017
724	40642.07653
725	40636.94425
726	40630.22147
727	40621.12396
728	40618.62344
729	40617.78243
730	40613.53533
731	40612.77747
732	40612.02674
733	40608.53114
734	40606.44291
735	40601.54766
736	40594.00293
737	40590.31269
738	40588.43277
739	40587.00724
740	40585.7132
741	40581.40842
742	40580.61943
743	40577.9359
744	40576.6174
745	40575.93978
746	40573.61015
747	40571.32992
748	40570.66617
749	40570.04441
750	40569.5536
751	40565.64315
752	40561.57545
753	40555.8778
754	40554.09088
755	40552.91305
756	40550.29542
757	40548.59503
758	40545.55515
759	40544.72478
760	40543.5656
761	40539.30673
762	40538.46584
763	40536.01101
764	40532.85811
765	40526.41308
766	40525.70856
767	40524.69538
768	40519.98133
769	40515.0565
770	40509.62845
771	40508.29218
772	40506.31106
773	40503.80537
774	40495.87934
775	40488.01388
776	40484.72556
777	40477.19464
778	40475.85407
779	40469.0024
780	40467.81517
781	40465.04019
782	40464.35936
783	40463.7877
784	40462.14035
785	40461.35217
786	40460.47216
787	40459.42736
788	40452.22512
789	40441.44882
790	40439.67072
791	40438.95981
792	40436.74996
793	40435.52138
794	40433.03855
795	40429.55835
796	40427.59108
797	40425.16728
798	40420.17595
799	40416.82732
800	40414.15048
801	40412.67901
802	40409.03592
803	40408.34778
804	40407.47454
805	40404.10187
806	40400.86499
807	40397.80607
808	40393.7613
809	40393.06266
810	40388.36339
811	40387.10421
812	40384.41664
813	40381.76346
814	40381.04377
815	40376.67288
816	40370.30175
817	40365.56061
818	40360.2638
819	40359.2453
820	40357.72517
821	40355.75062
822	40352.84724
823	40352.18281
824	40351.57954
825	40348.83232
826	40346.31362
827	40345.31557
828	40344.71876
829	40339.90748
830	40338.87408
831	40336.51065
832	40335.45466
833	40330.74064
834	40322.94736
835	40322.125
836	40319.20297
837	40318.52018
838	40315.78966
839	40314.96402
840	40313.41332
841	40312.16235
842	40308.45202
843	40307.74835
844	40306.27344
845	40299.50152
846	40297.23684
847	40296.33883
848	40289.72233
849	40285.0437
850	40278.59376
851	40277.52912
852	40276.87997
853	40273.9086
854	40273.23651
855	40272.13917
856	40268.62081
857	40265.9773
858	40265.40134
859	40254.73718
860	40252.9131
861	40252.2471
862	40250.79422
863	40250.14127
864	40247.64864
865	40244.8258
866	40244.25854
867	40241.58501
868	40239.1145
869	40235.65123
870	40233.20135
871	40230.74413
872	40226.37233
873	40225.72285
874	40225.04086
875	40222.33633
876	40219.48825
877	40217.22472
878	40212.60529
879	40210.01009
880	40207.74187
881	40205.2174
882	40203.14151
883	40198.19805
884	40196.37307
885	40195.76818
886	40193.84447
887	40193.17178
888	40187.30092
889	40185.92521
890	40180.17674
891	40177.05976
892	40173.29052
893	40170.56778
894	40169.61695
895	40168.91239
896	40165.57636
897	40164.87493
898	40162.22766
899	40161.40659
900	40157.9312
901	40157.05391
902	40155.68838
903	40150.18224
904	40147.49476
905	40144.88148
906	40144.37974
907	40138.66266
908	40134.93648
909	40133.4534
910	40132.80734
911	40131.95568
912	40130.70183
913	40127.47762
914	40125.54761
915	40124.85787
916	40123.25401
917	40121.72521
918	40120.40714
919	40118.62014
920	40116.18773
921	40115.57116
922	40112.77249
923	40106.27402
924	40101.37144
925	40099.20666
926	40094.93789
927	40092.72031
928	40087.88119
929	40086.52325
930	40084.71836
931	40083.54579
932	40082.6861
933	40080.91021
934	40077.22705
935	40074.53614
936	40073.66339
937	40070.70587
938	40069.71218
939	40066.86415
940	40066.20593
941	40065.58703
942	40064.15912
943	40061.71134
944	40061.06965
945	40059.17473
946	40058.40897
947	40057.94987
948	40056.25505
949	40051.88634
950	40051.16381
951	40050.30644
952	40048.57531
953	40047.41805
954	40043.40467
955	40041.60064
956	40038.08247
957	40033.43534
958	40031.72136
959	40029.87491
960	40027.66738
961	40025.9734
962	40024.96845
963	40024.28952
964	40023.67829
965	40023.1384
966	40020.25974
967	40014.71768
968	40009.20509
969	40008.57996
970	40007.85388
971	40005.62568
972	40005.09405
973	40002.44152
974	40001.0946
975	39999.84401
976	39998.38802
977	39996.0627
978	39993.66741
979	39991.89755
980	39990.19345
981	39989.56539
982	39987.98966
983	39981.70011
984	39981.03772
985	39976.91473
986	39976.43745
987	39975.94119
988	39973.96595
989	39973.46211
990	39973.02036
991	39972.36746
992	39971.26444
993	39970.49693
994	39970.12378
995	39969.61219
996	39969.10477
997	39968.72097
998	39965.79361
999	39964.16895
